2019-04-29,1286.36,1286.79,1277.96,1279.64,29956,23,0
2019-04-30,1279.94,1286.09,1279.57,1283.32,36008,23,0
2019-05-01,1283.24,1287.18,1272.78,1276.56,42701,23,0
2019-05-02,1276.91,1277.86,1266.18,1270.41,37860,23,0
2019-05-03,1270.56,1282.47,1268.52,1278.86,39091,23,0
2019-05-06,1280.3,1285.72,1276.88,1280.27,40039,23,0
2019-05-07,1281.02,1285.98,1278.08,1284.24,39542,23,0
2019-05-08,1284.07,1291.39,1279.2,1280.67,41659,23,0
2019-05-09,1280.23,1288.12,1279.51,1283.75,46204,23,0
2019-05-10,1283.52,1289.32,1283.06,1285.59,48224,23,0
2019-05-13,1287.48,1301.14,1281.86,1299.65,44703,23,0
2019-05-14,1299.29,1303.19,1293.6,1296.78,32589,23,0
2019-05-15,1296.54,1300.79,1292.94,1296.33,36272,23,0
2019-05-16,1296.03,1298.67,1283.78,1286.47,34994,23,0
2019-05-17,1286.47,1288.84,1274.67,1277.54,38070,23,0
2019-05-20,1277.22,1278.87,1273.56,1277.6,24527,23,0
2019-05-21,1277.53,1277.81,1269.37,1274.62,23545,23,0
2019-05-22,1274.51,1277.21,1272.38,1273.22,22481,23,0
2019-05-23,1273.21,1287.22,1272.73,1283.27,28911,23,0
2019-05-24,1283.01,1285.12,1280.68,1284.68,22475,23,0
2019-05-27,1284.57,1287.28,1283.67,1284.91,11646,24,0
2019-05-28,1284.87,1286.46,1276.06,1279.23,26591,23,0
2019-05-29,1279.42,1285.46,1279.06,1279.69,31727,23,0
2019-05-30,1279.71,1289.12,1274.92,1288.28,29268,23,0
2019-05-31,1288.33,1306.87,1287.88,1305.35,36975,23,0
2019-06-03,1307.39,1327.87,1305.93,1324.6,39135,23,0
2019-06-04,1324.24,1328.95,1319.82,1325.1,38816,23,0
2019-06-05,1324.3,1343.99,1324.25,1330.09,49702,23,0
2019-06-06,1332.0,1339.74,1327.13,1335.36,42708,23,0
2019-06-07,1335.34,1348.18,1330.18,1340.3,40773,23,0
2019-06-10,1336.64,1337.59,1324.98,1327.84,38615,23,0
2019-06-11,1327.55,1329.79,1319.78,1326.58,37503,23,0
2019-06-12,1326.39,1338.31,1325.93,1333.36,39368,23,0
2019-06-13,1333.11,1343.03,1332.33,1341.83,34792,23,0
2019-06-14,1341.65,1358.07,1337.76,1341.33,47603,23,0
2019-06-17,1341.77,1343.42,1332.88,1339.52,39039,23,0
2019-06-18,1339.2,1354.52,1338.54,1346.39,69193,23,0
2019-06-19,1346.14,1362.49,1341.26,1360.18,72409,23,0
2019-06-20,1360.1,1393.84,1357.6,1388.18,101471,23,0
2019-06-21,1386.96,1411.71,1382.41,1398.66,117715,23,0
2019-06-24,1400.0,1421.36,1399.45,1419.29,78035,23,0
2019-06-25,1419.48,1439.13,1411.79,1423.09,128203,23,0
2019-06-26,1423.6,1424.0,1401.65,1408.89,108220,23,0
2019-06-27,1408.24,1412.07,1398.54,1409.73,75749,23,0
