2020-07-28,1942.38,1981.02,1906.93,1959.43,88310,34,0,74.09
2020-07-29,1956.16,1980.81,1941.36,1970.36,69597,31,0,39.45
2020-07-30,1970.1,1971.49,1939.47,1955.88,72156,34,0,32.02
2020-07-31,1955.94,1982.89,1954.95,1973.93,75475,23,0,27.94
2020-08-03,1978.78,1989.33,1960.55,1976.47,60715,33,0,28.78
2020-08-04,1976.37,2019.83,1967.91,2018.93,62515,33,0,51.92
2020-08-05,2018.6,2055.68,2009.53,2037.67,80109,33,0,46.15
2020-08-06,2038.41,2069.64,2034.55,2063.05,73693,33,0,35.09
2020-08-07,2064.0,2074.89,2015.49,2034.61,85148,23,0,59.4
2020-08-10,2028.71,2049.85,2018.45,2027.16,69889,33,0,31.4
2020-08-11,2027.06,2029.92,1901.36,1911.41,90730,33,0,128.56
2020-08-12,1911.35,1949.33,1863.04,1916.47,92629,33,0,86.29
2020-08-13,1913.73,1966.28,1912.72,1953.21,78601,33,0,53.56
